Time (s),Product Position,Actual Temperature
309,617.8167683862663,127.43021658507779
310,619.7156720600493,126.36126806969338
311,621.6068314584357,125.30295576975064
312,624.1562198844293,124.25517385313762
313,626.5689280589233,123.21781754078953
314,628.9756828769237,122.19078309621064
315,631.6284222805008,121.17396781510064
316,633.6389242013172,120.16727001508407
317,635.9799006869647,119.17058902554201
318,637.824767308668,118.18382517754495
319,639.9868504849122,117.20687979388576
320,641.9217789577284,116.23965517921198
321,643.9702769402247,115.2820546102562
322,646.2678554529432,114.33398232616457
323,647.8587451113265,113.39534351892598
324,650.9049387491692,112.46604432397088
325,652.4019300584193,111.54599181135775
326,653.7948357520255,110.63509397707674
327,656.3738911887756,109.73325974487724
328,658.7697225357571,108.8403990650952
329,661.0817824442831,107.95642346763448
330,663.3959551989153,107.08124898797004
331,665.3898318124918,106.2148075639972
332,666.9412046267489,105.35707149313464
333,668.9791069058458,104.50807924335925
334,670.6405260500898,103.66829621800021
335,673.1280859167987,102.83872167566209
336,675.0545572260476,102.02476010321654
337,676.6418086276514,101.2355043863632
338,678.4811157068249,100.48019950612651
339,680.6875814339627,99.78818006478176
340,682.4057191575607,99.25763184987116
341,683.9946089597776,98.95469953635515
342,686.1164525655236,98.85484607297757
343,688.2389358510779,99.25171213583869
344,689.9854642633924,100.56337214982904
345,691.7499451105832,102.63112903716417
346,693.8659700792621,105.05285580386447
347,695.1419279085134,110.39622052101423
348,696.4381960213251,116.29206287228065
349,698.0789739106989,121.20779631412903
350,699.972250334843,125.48257014344192
351,702.127704117642,128.86704741482805
352,704.8653822261168,130.66658331551648
353,707.2942120377178,131.9838664006902
354,709.214242772736,133.09786873298907
355,711.2047346687847,133.4040542876689
356,712.7034699864657,133.60433977515103
357,714.6942134184695,133.05372867349263
358,716.5498840990094,132.27714038545244
359,718.7112433791784,131.2995244721633
360,720.2976279074022,130.2944817548392
361,722.5573011645228,129.22433100675303
362,725.323670621024,128.14346014637172
363,727.2692905467956,127.07044490571761
364,729.470146407845,126.00584461186938
365,731.8152184037006,124.95124018272139
366,733.6146081677576,123.90702669642647
367,735.7266544086629,122.8731480577053
368,737.7329506090538,121.84954639936484
369,739.7817886583282,120.83612713383404
370,741.3952837664004,119.83279112878634
371,743.4075388535299,118.83943829237485
372,745.6565379991526,117.8559694531629
373,748.3821098030502,116.88228628871789
374,750.8617452160928,115.91829143340794
375,753.9383364448486,114.96388848715054
376,755.5546626634045,114.01898200887817
377,757.9908229817648,113.08347750715588
378,760.082493984634,112.15728143075411
379,763.1773954512428,111.24030115929341
380,764.7732463085651,110.33244499398246
381,766.3533853874748,109.43362214844821
382,768.0536890647528,108.54374273965706
383,768.991741202598,107.66271777892659
384,770.7288636917576,106.79045916302651
385,772.3492973609808,105.92687966536836
386,774.4244942542189,105.07189292728272
387,776.5953722421075,104.22541344938328
388,779.5334576617154,103.38735658301687
389,782.0086695808084,102.55763852179845
390,783.7202177529772,101.73617629323047
391,785.271010417303,100.92288775040552
392,787.5169700030563,100.11769156379158
393,788.8568533995459,99.32050721309898
394,791.7725827824731,98.53125497922834
395,794.3623028428337,97.74985593629854
396,796.1277150167814,96.97623194375414
397,797.271147752236,96.21030563855119
